Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
XP_044342454.1	XP_044342454.1			367				0.9998	0.999	16	56	0	380	0	2	6	3	0	7	12	4	3	3	2	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	33	22	20	35	41	30	21	26	25	31	25	32	12	5	0.0	2137059.2	1.2773034E8	8561081.0	0.0	2.4462752E7	6.4605144E7	2.084255E7	3.1687444E7	6006878.0	0.0	6683487.0	2.9284714E7	1.9731984E7	0.0	0.0	0.0	6533123.5	1.5816081E7	5700014.5	0.0	1.4564681E7	1.6156436E7	1.4115519E7	1.3800011E7	1.1511457E7	0.0	9690453.0	1.0834307E7	1.118823E7	0.0	0.0	XP_044342455.1
XP_044342456.1	XP_044342456.1			984				1.0	0.999	44	56	0	565	0	1	5	2	1	11	4	3	1	0	1	10	7	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	49	29	17	60	51	40	17	11	21	70	56	33	62	34	0.0	5.6668004E7	1.846752E8	9.560739E7	7.583294E7	1.6020728E8	1.9226526E8	8.698819E7	6.162944E7	0.0	8.016159E7	3.2164845E8	2.3592808E8	4.4105264E7	2.8597088E8	1.1473723E8	0.0	5.698089E7	1.2042456E8	9.368999E7	5.133327E7	9.656524E7	1.3110748E8	8.816234E7	4.044681E7	0.0	6.114618E7	1.4907874E8	1.2598788E8	4.4348784E7	1.114584E8	1.15090776E8	
XP_044342458.1	XP_044342458.1			214				1.0	0.999	5	10	0	120	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	8	5	4	5	4	17	21	22	10	8	7	1	1	0.0	0.0	1.0807917E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.388793E7	2.9931776E7	0.0	0.0	0.0	0.0	0.0	1.0807917E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.195121E7	2.7511838E7	0.0	0.0	0.0	XP_044415666.1, XP_044451190.1
XP_044342460.1	XP_044342460.1			168				0.9642	0.9979	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044353718.1
XP_044342469.1	XP_044342469.1			166				0.9901	0.9987	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8255552.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044351224.1, XP_044353719.1
XP_044342471.1	XP_044342471.1			978				1.0	0.999	17	109	0	109	0	0	9	26	6	5	11	7	3	0	4	14	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	26	6	5	11	7	3	0	4	14	15	9	0	0	0.0	0.0	7.505142E7	1.62693E8	3.18755E7	1.8737936E7	2.5084872E7	3.926979E7	3.1903956E7	0.0	2.8335806E7	1.1231198E8	1.7585643E8	1.6251018E8	0.0	0.0	0.0	0.0	3.3931976E7	3.9442452E7	2.3077754E7	2.5144344E7	4.124051E7	2.3141544E7	1.991259E7	0.0	1.7483894E7	2.6122812E7	4.0750268E7	2.5467004E7	0.0	0.0	XP_044342472.1, XP_044342473.1, XP_044342474.1
XP_044342477.1	XP_044342477.1			521				1.0	0.999	16	104	0	104	2	3	8	22	16	9	5	2	4	13	14	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	22	16	9	5	2	4	13	14	0	3	0	2	1	1.4707087E7	4.4143776E7	2.6856464E7	1.9911016E8	1.7039595E8	7.1996584E7	5.3312172E7	4951772.0	3.5207476E7	1.6749419E8	2.1895144E8	3151925.2	1.038317E7	2455071.5	824729.94	6.13473E7	8.7397384E7	2.841576E7	2.4120966E7	3.620256E7	1.7209172E7	1.2803334E7	1.4321704E7	9144630.0	2.2221002E7	3.4611896E7	4.093351E7	1.3289629E7	1.248378E7	1.0351448E7	8630398.0	1.3533858E7	XP_044342488.1, XP_044415683.1
XP_044342479.1	XP_044342479.1			699				1.0	0.999	21	140	30	230	41	54	2	10	17	5	3	2	1	2	3	0	0	0	0	0	9	16	0	1	4	0	0	0	0	0	0	0	0	0	0	0	43	57	12	19	20	13	12	12	4	8	8	5	5	3	4	5	3.8982893E8	7.506665E8	2.722584E7	1.0277464E8	2.6005283E8	3.0654816E7	6.132217E7	2.9315274E7	1.6991132E7	2.1233164E7	2.2750796E7	0.0	0.0	0.0	0.0	0.0	9.095834E7	2.0224496E8	2.722584E7	7.315558E7	1.4632597E8	3.0654816E7	6.132217E7	2.9315274E7	1.6991132E7	2.1233164E7	2.2750796E7	0.0	0.0	0.0	0.0	0.0	
XP_044342480.1	XP_044342480.1			1519				1.0	0.999	35	40	0	588	0	1	6	2	2	5	4	5	1	1	1	4	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	49	43	32	73	56	81	13	14	20	69	50	23	26	16	0.0	0.0	2.6966506E8	4321458.5	1889908.2	1.7234493E8	5196683.0	3.6256E7	0.0	575130.1	1432367.8	2822247.2	5.596661E7	3.9772144E7	2103205.5	1891846.4	0.0	0.0	1.4121873E7	1.4565786E7	6370071.5	1.2295488E7	1.7515794E7	1.3137517E7	0.0	1938517.4	4827898.0	9512587.0	9845747.0	3045935.5	7089005.0	6376604.0	XP_044342481.1
XP_044342483.1	XP_044342483.1			483				1.0	0.999	28	1203	0	1203	34	41	133	157	43	172	161	53	68	52	60	51	48	47	51	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	41	133	157	43	172	161	53	68	52	60	51	48	47	51	32	2.3605912E8	4.3850416E8	1.7020424E9	1.9916943E9	2.9233446E8	2.4575818E9	1.6759619E9	5.482476E8	9.898987E8	1.8071373E9	1.2848338E9	4.8649053E8	5.663929E8	5.0930618E8	1.1802295E9	1.1010772E9	3.5860054E8	3.0152854E8	6.010658E8	7.197691E8	2.4680416E8	7.241539E8	7.339878E8	3.0653603E8	3.5063286E8	3.3640394E8	3.101825E8	2.5495242E8	2.6515427E8	2.5809347E8	3.2605603E8	2.942712E8	XP_044358850.1
XP_044342484.1	XP_044342484.1			567				1.0	0.999	27	58	56	458	0	2	6	3	2	4	10	1	5	0	1	5	7	8	3	1	0	2	6	3	2	4	10	1	5	0	1	5	7	7	2	1	2	6	40	27	16	19	48	9	44	23	14	50	56	60	31	13	0.0	2.5884452E7	1.16562936E8	3.79378E7	1.4552771E7	4.3320484E7	1.042817E8	6290551.5	1.4502261E8	0.0	2.5928494E7	9.031307E7	1.11128824E8	7.4813656E7	1.3891836E7	1.1753092E7	0.0	1.8741078E7	6.968167E7	2.5354112E7	8474668.0	3.136526E7	6.1740156E7	1.6425907E7	3.220296E7	0.0	4.6001996E7	4.1482292E7	5.042979E7	6.2171668E7	4.0534416E7	3.068971E7	
XP_044342485.1	XP_044342485.1			512				0.9942	0.995	5	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1	1	3	2	2	2	2	6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242617.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044342486.1	XP_044342486.1			281				1.0	0.999	9	115	0	115	7	15	6	10	8	5	5	3	8	4	4	12	15	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	6	10	8	5	5	3	8	4	4	12	15	6	2	5	1.0755875E8	2.1300992E8	1.1424607E8	1.0340032E8	3.9512548E7	8.159201E7	1.8654626E8	1.5849192E7	1.42475E8	4.459193E7	1.0653858E8	2.2591429E8	2.5095155E8	1.8263731E8	1.5184948E7	8.3578616E7	7.108991E7	7.2461384E7	5.5083064E7	4.8846796E7	2.472974E7	4.49124E7	6.5828836E7	2.4498376E7	6.868873E7	5.8341904E7	5.0726588E7	7.414592E7	8.548869E7	5.1232344E7	1.5497962E7	4.7836896E7	XP_044351236.1
XP_044342487.1	XP_044342487.1			548				1.0	0.999	31	557	25	557	2	10	81	38	24	37	51	11	41	18	20	84	74	47	9	10	0	1	1	1	1	1	2	1	1	3	2	2	5	2	1	1	2	10	81	38	24	37	51	11	41	18	20	84	74	47	9	10	1.6128664E7	8.236366E7	1.06954406E9	3.420697E8	1.1419408E8	4.9027754E8	5.469226E8	9.4177576E7	5.8444096E8	3.0827706E8	2.1864517E8	9.691245E8	1.0318956E9	3.2099024E8	2.7206992E7	2.8560384E7	1.4791533E7	4.6844732E7	1.8665605E8	1.0641773E8	6.0818564E7	1.2457089E8	1.3048091E8	5.2983216E7	1.4548242E8	7.4326296E7	9.135643E7	1.7818829E8	2.0977734E8	9.310722E7	4.388361E7	3.909605E7	
XP_044342489.1	XP_044342489.1			546				0.9999	0.999	30	15	15	547	0	0	0	1	2	2	1	0	3	1	1	1	1	1	1	0	0	0	0	1	2	2	1	0	3	1	1	1	1	1	1	0	2	9	80	38	25	38	50	10	43	16	19	83	70	46	9	9	0.0	0.0	0.0	2.3069248E7	2.0098638E7	2.1030018E7	6.4048596E7	0.0	3.9372116E7	2.893927E7	4.495606E7	1.2985478E8	1.0359661E8	4.7667596E7	2.257798E7	0.0	0.0	0.0	0.0	2.3069248E7	2.0098638E7	2.1030018E7	6.4048596E7	0.0	3.9372116E7	2.893927E7	4.495606E7	1.2985478E8	1.0359661E8	4.7667596E7	2.257798E7	0.0	
XP_044342491.1	XP_044342491.1			623				1.0	0.999	13	13	9	82	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	29	30	4	9	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.6594206E7	1.5266748E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6589757.0	8560326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044342494.1	XP_044342494.1			373				0.9992	0.9987	3	18	1	18	1	0	2	1	1	1	1	0	1	1	2	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	1	0	1	1	2	2	3	2	0	0	1.1296935E8	0.0	2.4986931E8	0.0	1.786535E8	3.2062778E8	2.9534352E8	0.0	2.2510568E8	1.0440902E8	1.315669E8	1.7614589E8	3.6664333E8	1.2484288E9	0.0	8.872748E7	1.1296935E8	0.0	2.4986931E8	0.0	1.786535E8	3.2062778E8	2.9534352E8	0.0	2.2510568E8	1.0440902E8	1.315669E8	1.7614589E8	3.6664333E8	1.2484288E9	0.0	8.872748E7	
XP_044342496.1	XP_044342496.1			428				1.0	0.999	39	1370	0	1370	56	93	120	198	158	146	126	183	37	20	20	29	31	51	55	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	93	120	198	158	146	126	183	37	20	20	29	31	51	55	47	2.8836234E9	2.4067758E9	2.3845798E9	3.3535416E9	2.9601216E9	2.6365018E9	1.8271057E9	4.6183137E9	3.443105E8	8.610034E7	2.0977549E8	3.0748717E8	2.6717718E8	9.312892E8	5.8340966E8	6.773831E8	6.7789894E8	6.050598E8	5.697002E8	6.8194746E8	6.3027066E8	7.450409E8	5.664594E8	9.589911E8	1.7980784E8	1.3404292E8	1.5041478E8	1.5662242E8	1.5015882E8	2.0543016E8	2.8286403E8	2.7498163E8	XP_044351252.1, XP_044358861.1
XP_044342499.1	XP_044342499.1			210				1.0	0.999	15	13	13	549	0	0	1	3	3	0	0	1	0	1	0	0	2	2	0	0	0	0	1	3	3	0	0	1	0	1	0	0	2	2	0	0	9	10	36	51	45	32	36	37	28	27	26	46	55	49	33	29	0.0	0.0	0.0	3331379.2	1189245.0	0.0	0.0	1960987.1	0.0	9833354.0	0.0	2151381.5	5446128.0	3608318.2	0.0	6625208.0	0.0	0.0	0.0	3331379.2	749181.0	0.0	0.0	1960987.1	0.0	9833354.0	0.0	2151381.5	2905140.8	3608318.2	0.0	6625208.0	
XP_044342502.1	XP_044342502.1			267				0.9977	0.998	8	1	0	56	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	2	3	6	0	2	2	4	4	3	3	5	6	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	621047.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044342503.1
XP_044342504.1	XP_044342504.1			508				1.0	0.999	14	7	7	55	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	33	1	0	1	0	1	4	0	0	0	0	0	0	2	1	0.0	1.2462662E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044342505.1	XP_044342505.1			250				0.9996	0.999	5	24	24	143	2	7	0	2	4	0	0	0	2	0	0	1	2	4	0	0	2	7	0	2	4	0	0	0	2	0	0	1	2	4	0	0	30	44	0	11	28	0	0	0	10	0	0	3	5	11	1	0	1.2414237E8	3.1278458E8	0.0	2.661628E7	1.1398481E8	0.0	0.0	0.0	3.2501214E7	0.0	0.0	8679449.0	2290832.8	1.6013928E7	0.0	0.0	1.2414237E8	3.1278458E8	0.0	2.661628E7	1.1398481E8	0.0	0.0	0.0	3.2501214E7	0.0	0.0	8679449.0	2290832.8	1.6013928E7	0.0	0.0	
XP_044342506.1	XP_044342506.1			164				1.0	0.999	6	44	0	44	0	2	1	5	1	1	1	2	4	5	3	5	5	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	1	1	1	2	4	5	3	5	5	6	1	2	0.0	4400955.0	1.3047994E7	4.71017E7	1.0314599E7	3354001.0	1.0975897E7	1.5450536E7	4.0476224E7	1.8716726E7	954895.2	4.4913572E7	3.936677E7	2.5214866E7	5456808.5	1.0492925E7	0.0	3082042.0	9551508.0	1.3188108E7	5122946.0	2.0096846E7	7201625.0	1.0137574E7	9762713.0	1.0258872E7	5721639.0	9824874.0	1.1224005E7	5020656.0	3.2696664E7	6.2872584E7	XP_044351263.1, XP_044358876.1
XP_044342507.1	XP_044342507.1			323				1.0	0.999	32	344	223	2586	1	5	29	14	16	24	28	11	42	48	42	18	21	22	13	10	0	2	19	8	11	15	22	6	28	30	27	12	14	14	9	6	39	70	195	137	157	175	192	98	284	347	302	116	131	172	87	84	0.0	1.8918952E7	1.1171272E8	5.5363268E7	7.449568E7	9.2410904E7	1.1278485E8	2.8131948E7	3.686206E8	6.307178E8	4.445532E8	5.830787E7	7.584893E7	7.563979E7	4.9140684E7	4.133191E7	0.0	1.2624985E7	3.7473784E7	1.711979E7	2.2221914E7	2.9499738E7	3.604637E7	1.6083786E7	1.059409E8	1.6438531E8	1.1879068E8	1.7439452E7	2.3930934E7	2.410258E7	1.6471199E7	1.3450454E7	
XP_044342508.1	XP_044342508.1			554				1.0	0.999	37	270	0	2086	7	6	16	21	9	24	17	19	14	10	14	29	32	20	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	47	157	186	105	172	164	142	111	82	107	201	187	161	122	91	1.3065956E8	1.9785818E8	7.835025E8	1.1165868E9	6.885803E8	1.278304E9	1.4408721E9	8.336749E8	8.03329E8	4.374402E8	5.927617E8	1.7051764E9	1.8212E9	2.5416195E9	7.2514445E8	5.656552E8	3.5137306E8	5.5437274E8	6.285691E8	6.756981E8	4.7216355E8	7.778313E8	6.384833E8	7.50427E8	5.8649875E8	4.4082678E8	5.510142E8	6.376611E8	8.4884826E8	8.837172E8	7.2637126E8	7.541649E8	XP_044342509.1
XP_044342510.1	XP_044342510.1			733				1.0	0.999	8	7	4	31	0	0	2	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	4	1	1	3	0	7	1	1	4	1	4	0	0	0.0	0.0	1.1876377E8	0.0	0.0	0.0	1.484535E8	0.0	9.810343E7	0.0	0.0	4836613.5	0.0	714971.44	0.0	0.0	0.0	0.0	1.1876377E8	0.0	0.0	0.0	1.484535E8	0.0	9.810343E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044342512.1	XP_044342512.1			403				1.0	0.999	12	11	11	205	0	0	0	0	0	0	0	0	5	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	76	66	61	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28627E8	7.8421005E8	5.807119E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983946E8	5.2333654E8	3.6071648E8	0.0	0.0	0.0	0.0	0.0	
XP_044342518.1	XP_044342518.1			521				1.0	0.999	16	455	88	455	3	1	4	1	3	7	4	3	169	132	112	1	3	2	3	7	0	0	0	0	0	0	0	0	34	31	23	0	0	0	0	0	3	1	4	1	3	7	4	3	169	132	112	1	3	2	3	7	3.0446134E7	2.1053734E7	1.0075428E7	6312074.0	7994921.5	1.6370527E7	9987724.0	6986629.5	1.9123996E9	1.7929592E9	1.7007209E9	5274524.0	1.4132992E7	6338374.5	1.7976734E7	5.8617092E7	5.207847E7	3.6012664E7	1.723414E7	1.0796878E7	1.1402266E7	2.800198E7	1.708412E7	1.1950713E7	1.28373544E8	6.948587E7	7.6089576E7	9022136.0	2.417465E7	1.0841865E7	3.0749416E7	7.5738296E7	
XP_044342522.1	XP_044342522.1			475				1.0	0.999	13	105	0	105	22	54	0	3	20	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	54	0	3	20	0	0	0	4	0	0	1	0	1	0	0	1.783441E8	6.319637E8	0.0	597349.06	8.2095784E7	0.0	0.0	0.0	393716.8	0.0	0.0	4042321.8	0.0	5531659.0	0.0	0.0	3.6536476E7	5.407318E7	0.0	4943111.5	1.4753357E7	0.0	0.0	0.0	3258038.2	0.0	0.0	869223.6	0.0	8923493.0	0.0	0.0	
XP_044342524.1	XP_044342524.1			259				1.0	0.999	3	6	0	12	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	3	2	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8345362E7	0.0	7001597.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3009189.2	0.0	4.150392E7	0.0	0.0	XP_044342525.1, XP_044342526.1, XP_044342527.1, XP_044342528.1, XP_044342529.1, XP_044358905.1, XP_044358906.1, XP_044358907.1, XP_044358908.1, XP_044358909.1
XP_044342531.1	XP_044342531.1			352				1.0	0.999	7	10	0	53	0	0	0	2	0	1	0	1	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	8	4	1	4	9	7	6	0	0	0.0	0.0	0.0	8925051.0	0.0	1.5358972E7	0.0	2.0717306E7	5134825.0	0.0	1.61352E7	2.9339686E7	2.253337E7	1.2453062E7	0.0	0.0	0.0	0.0	0.0	8925051.0	0.0	1.5358972E7	0.0	2.0717306E7	5134825.0	0.0	1.61352E7	2.9339686E7	2.253337E7	1.2453062E7	0.0	0.0	XP_044342532.1, XP_044342533.1
XP_044342534.1	XP_044342534.1			662				1.0	0.999	33	100	100	954	0	1	10	10	6	6	9	4	3	1	3	9	17	13	4	4	0	1	10	10	6	6	9	4	3	1	3	9	17	13	4	4	17	23	69	94	70	64	67	33	47	43	46	79	82	108	65	47	0.0	1.3792807E7	9.528128E7	2.0403861E8	5.473768E7	1.2933886E8	6.802269E7	2.9259516E7	4.0456024E7	1.9488244E7	6.942328E7	1.07865064E8	1.8238008E8	1.0824984E8	1.634858E8	4.3815736E7	0.0	1.7908434E7	4.4132028E7	4.184544E7	3.9970456E7	3.2345372E7	3.6484636E7	2.1559494E7	2.9048152E7	2.530333E7	2.8480958E7	3.6261724E7	4.8331704E7	4.6933444E7	3.908057E7	3.2076154E7	
XP_044342538.1	XP_044342538.1			263				1.0	0.999	6	128	0	128	3	4	10	13	4	12	11	11	4	2	4	15	7	18	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	10	13	4	12	11	11	4	2	4	15	7	18	5	5	9.165602E8	1.5942742E9	6.940445E8	5.1524138E8	4.7933542E8	9.932212E8	1.4900785E9	1.3660878E10	4.284776E8	3.042999E8	4.071852E8	2.7625457E9	2.966859E9	1.4636539E9	2.5740989E8	1.0081873E9	7.565002E8	7.3672205E8	6.725486E8	4.5944192E8	4.0677187E8	1.1114614E9	1.3741303E9	2.6326497E9	3.350301E8	2.1360997E8	3.615407E8	1.2606886E9	2.213448E9	1.0568415E9	3.0558726E8	5.3063075E8	XP_044351300.1, XP_044358919.1
XP_044342540.1	XP_044342540.1			301				1.0	0.999	16	360	29	360	38	43	9	27	55	19	14	24	17	14	17	16	24	23	12	8	2	3	0	3	3	0	0	1	1	2	1	3	5	4	1	0	38	43	9	27	55	19	14	24	17	14	17	16	24	23	12	8	3.6888925E8	6.481944E8	9.96004E7	3.3861558E8	5.0099862E8	8.841143E7	1.52594E8	1.3439586E8	2.3387192E8	1.4214365E8	2.6176917E8	1.9672818E8	2.2156346E8	2.2115085E9	1.02642056E8	6.609745E7	3.8887782E8	3.7702237E8	8.5273464E7	1.7066955E8	2.7380422E8	7.319844E7	9.104534E7	1.2027275E8	1.0059258E8	1.0113975E8	1.1516639E8	1.02159576E8	1.3634085E8	1.1598627E8	7.667182E7	8.3384616E7	
XP_044342541.1	XP_044342541.1			251				1.0	0.999	4	39	0	39	2	6	5	2	5	2	5	0	1	1	0	2	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	5	2	5	2	5	0	1	1	0	2	1	3	3	1	2.2064272E7	8.785144E8	7004714.5	0.0	9.668698E7	5004011.0	5413018.0	0.0	7.003446E7	6878807.5	0.0	7212834.5	3.3706636E7	4.3292644E7	6090225.5	3158918.2	3.5497844E7	1.30456744E8	1.5775916E7	0.0	1.7228348E7	1.1269961E7	1.2191121E7	0.0	1.4506644E7	1.549235E7	0.0	1.6244641E7	1.4607112E7	1.4144764E7	1.3716318E7	7114470.0	XP_044351301.1
XP_044342543.1	XP_044342543.1			136				1.0	0.999	3	64	0	64	1	6	3	4	3	3	3	3	6	5	4	6	5	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	4	3	3	3	3	6	5	4	6	5	7	3	2	6905786.5	8.293281E7	4.9100696E7	3.1322262E7	4.7129276E7	4.9511716E7	4.53492E7	7144033.0	1.0235242E8	1.3695663E7	6.1692668E7	5762086.0	5.3766477E9	5876306.5	6.5122628E7	2748962.2	3.2947108E7	1.0406933E8	2.2106688E7	1.1489691E7	2.2129732E7	2.0447304E7	1.6045974E7	3.408377E7	4.2136972E7	5.5600824E7	3.0868188E7	2.7490578E7	1.424166E8	2.8035518E7	2.2651714E7	1.311514E7	XP_044358925.1, XP_044358926.1, XP_044358927.1
XP_044342547.1	XP_044342547.1			398				0.9999	0.999	13	120	4	120	0	3	5	12	2	7	5	5	7	2	5	11	20	21	9	6	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	3	5	12	2	7	5	5	7	2	5	11	20	21	9	6	3.787091E7	5.4667944E7	5.5535136E7	8.130188E7	3.8079056E7	4.871156E7	4.5457148E7	8.9744184E7	5.1562544E7	3.7590496E7	2.803295E7	6.0345616E7	8.453139E7	1.3015944E8	6.3483732E7	4.0783372E7	4.1134496E7	3.7632732E7	3.2919932E7	3.1778724E7	2.0575358E7	2.2301848E7	2.4476756E7	3.3116248E7	2.687463E7	2.2065338E7	2.3025854E7	3.0700658E7	3.8508924E7	3.5416684E7	2.4733164E7	2.524862E7	
